category,product,star,comments
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,tốt nhé
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,sp ok nha
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,hàng sd tốt
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,4,oke ạ
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,ok
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,ok đấy
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,4,tốt
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,rất là ổn nha 
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,ok
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,3,bình thường
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,4,giá tốt chất lượng đảm bảo
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,sạc tốt
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,hàng chuẩn ok 
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,tốt
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,1,sạc gì chán quá sạc lúc được lúc không
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,sạc khá ổn
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,tốt
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,3,tạm ổn
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,phục vụ ok nhận chóng
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,dùng tốt
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,ok
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,4,mình sạc cảm thấy rất lâu chứ không nhanh máy gần hết pin từ lúc sạc đến khi đầy là tầm hơn 2 tiếng
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,4,ok
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,dùng ổn sạch nhanh bền chưa biết
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,4,dùng ổn
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,4,minh mới mua sạc tốt nhanh hơn những lọai kha c sp tốt an toàn muh sẽ ủng hộ cty tiếp 
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,3,tốt
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,tốt độ bền để xài thời gian đánh giá
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,sạc dùng rất tốt nhé
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,sản phẩm rất tốt
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,4,sp sài ok
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,3,quá bình thường ko gì khác thường 
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,tốt
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,4,cũng tốt
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,ok
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,1,mới đây mà sài ko nên thân
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,tốt
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,tôt
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,tốt
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,tot
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,4,cảm ơn các bạn nhân viên rất nhiệt tình giới thiệu những sản phẩm tốt khi tôi đã mua
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,3,cảm thấy bình thường
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,các bạn giao tiếp lịch sự rất tốt
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,quá hài lòng
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,3,mới xài nên chưa biết thế nào
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,tốt
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,4,sản phẩm ok trong tầm giá
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,4,sản phẩm tốt nhưng chưa biết độ bền bao lâu
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,sản phẩm tốt
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,ok
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,tốt
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,sạc nhanh như ý
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,xài được
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,dùng rất tốt cảm ơn nhiều
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,4,tốt
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,tốt
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,hàng chất lượng sử dụng ổn định 
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,ok
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,3,sạc chậm
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,rất tốt
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,4,xài tốt
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,4,tô t
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,so good thank you
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,4,sp dùng tốt
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,ok
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,rất tốt
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,sạc nhanh
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,4,sạc nhanh 
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,sạc rất nhanh và mượt có chị nhân viên mặc dù mang bầu nhưng vẫn rất nhiệt tình và ân cần cảm ơn shop hi vọng mọi người sẽ tiếp tục ủng hộ 
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,sản phẩm tốt sài ưng nhân viên tư vấn tốt thân thiện với khách hàng
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,ngon bổ rẻ
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,3,mình mới mua đc 2 tháng mà giờ sạc bị chập chờn k biết tại đmx quỳnh thiện có hàng để đổi k ạ
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,3,h
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,dùng khá là ok mình sạc iphone sam sung vs app w thấy vào điện nhanh và đều
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,dùng ok
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,4,tốt
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,3,cũ sạc khá nóng
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,nhân viên phục vụ nhiệt tình sạc dùng tốt
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,2,bad
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,sản phẩm tốt ưng ý sẽ ủng hộ lâu dài
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,sp oke
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,3,chậm ko nhanh mấy
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,1,dò điện giật tê tê
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,mới dùng thấy ok còn dùng 1 thời gian nữa xem sao
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,ok tốt
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,4,sản phẩm tôi xử dụng tốt
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,5,at the desired level
adapter-sac,adapter-sac-2-cong-type-c-pd-qc30-20w-xmobile-tc20qp-trang,4,tốt
