category,product,star,comments
dtdd,oppo-a77s,4,máy ổn trong tầm giá
dtdd,oppo-a77s,2,hạ giá đến 15 1 mà mua 11 1 vẫn giá cũ
dtdd,oppo-a77s,2,pin 5000 mà mau hết pin quá 
dtdd,oppo-a77s,4,tốt
dtdd,oppo-a77s,5,máy dùng rất hay phù hợp với mọi lứa tuổi
dtdd,oppo-a77s,5,oppo a77s dùng thích
dtdd,oppo-a77s,5,rất tốt
dtdd,oppo-a77s,5,giao hàng nhanh máy dùng ổn định nhân viên cài máy nhiệt tình
dtdd,oppo-a77s,5, 
dtdd,oppo-a77s,5,ok
dtdd,oppo-a77s,5,pin tốt màn hình nét
dtdd,oppo-a77s,4,mới đổi sang oppo xài nên chưa bít như thế nào nhưng nv phục vụ rất ok
dtdd,oppo-a77s,5,nhân viên bán hàng ok
dtdd,oppo-a77s,4,đang sài chưa thấy lỗi
dtdd,oppo-a77s,4,ok sp tô t
dtdd,oppo-a77s,5,sản phẩm rất ok có nhiều tính năng hay lắm đối với tầm già này là ổn rồi đây là ý kiến cá nhân của mình
dtdd,oppo-a77s,5,tư vấn nhiet tinh
dtdd,oppo-a77s,3,bình thường 
dtdd,oppo-a77s,5,máy sài ok loi gì đẹp bền vừa túi tiền
dtdd,oppo-a77s,5,xài tốt
dtdd,oppo-a77s,5,toi rat hai long số dùng rất tot
dtdd,oppo-a77s,4,bước đầu sử dụng thì tôi thấy ok tôi thích sử dụng đt hãng oppo
dtdd,oppo-a77s,5,tôi thấy nhân viên rất nhiệt tình
dtdd,oppo-a77s,5,hiện tại tôi sử dụng rất tốt
dtdd,oppo-a77s,5,rất tốt
dtdd,oppo-a77s,4,hàng mới sài cũng trưa biết sao
dtdd,oppo-a77s,4,ok
dtdd,oppo-a77s,4,điện thoại sử dụng tốt tôi ưng ý tôi sẽ giới thiệu với bạn bè 
dtdd,oppo-a77s,5,nhân viên vui ve dê thương phu c vu tận tình
dtdd,oppo-a77s,5,tốt
dtdd,oppo-a77s,5,tốt nhân viên tư vấn nhiệt tình làm thủ tục nhanh gọn lẹ 
dtdd,oppo-a77s,5,sài bao êm
dtdd,oppo-a77s,4,xài cũng ok
dtdd,oppo-a77s,3,sạc 33w mà sạc 1h20 mới đầy đt thì còn 20 phin 5000 mà chả hơn đt cũ mấy phân đt cũ dùng 3nam số hơi đen ông anh cũng cái y vvậy mà sạc 45phut bấm cả ngày còn tới tôi thì span 
dtdd,oppo-a77s,5,xài mượt chụp ảnh nơi đủ sáng khá đẹp còn thiếu sáng thì tạm ổn ram mở rộng thêm được 8g các tác vụ cơ bản mượt mà ít có hiện tượng giật lag tuy là độ phân giải hd nhưng màn hình khá đẹp sạc 33w rất là nhanh luôn pin 5000 mình nằm bấm cả ngày suốt 12 tiếng với độ sáng 35 mà vẫn còn 15 pin còn phần âm thanh thì con này to mồm thật nói chung đáng đồng tiền và thiết kế đẹp hơn galaxy a23
dtdd,oppo-a77s,5,good
dtdd,oppo-a77s,2,vừa mùa hôm này mà sao ko được giảm giá tôi ở huế
dtdd,oppo-a77s,2,màu không sắc nét
dtdd,oppo-a77s,5,tot
dtdd,oppo-a77s,3,vừa gọi messenger và zalo ko đc âm thanh có vấn đề ko à
dtdd,oppo-a77s,1,chỉ một chữ thôi nó quá tệ
dtdd,oppo-a77s,4,làm sao để cho phép tìm kiếm bằng hình ảnh trên máy này v ad
dtdd,oppo-a77s,4,mua xong ngày mai giảm
dtdd,oppo-a77s,3,khi sử dụng hằn vân tay trên màn hình nhiều
dtdd,oppo-a77s,5,sản phẩm tốt 
dtdd,oppo-a77s,5,hình ảnh nét
dtdd,oppo-a77s,5,máy chạy mượt hợp với giá tiền nhân viên nhiệt tình
dtdd,oppo-a77s,5,máy sài rất êm phụ vụ rất nhiệt tình ok
dtdd,oppo-a77s,5,cho em hỏi là cái phần làm tươi màn hình nên để ở 69hz hay 90 hz vậy ạ 
dtdd,oppo-a77s,5,mới mua 2tuan gio đổi lại opop a96 phụ thêm nhiu ạk
dtdd,oppo-a77s,4,máy mua đươcj 10 ngày xài ok pin tốt 
dtdd,oppo-a77s,4,dùng rất mượt pin sài rất ok
dtdd,oppo-a77s,5,hài lòng về sản phẩm
dtdd,oppo-a77s,4,mới dùng chưa thể đánh giá được chờ thời gian nữa hình thức bên ngoài cho bốn sao 
dtdd,oppo-a77s,5,cảm ơn rất tốt tôi dùng thấy nhanh nhậy không có gì trục trặc chưa phải sử lý lần nào 
dtdd,oppo-a77s,3,máy mới ra mắt mà sao bộ nhớ trong lại có 2 file 1 tháng 1 mọi thứ xài ổn ko đòi hỏi nhiều
dtdd,oppo-a77s,3,hi
dtdd,oppo-a77s,5,rất hài lòng
dtdd,oppo-a77s,5,tốt
dtdd,oppo-a77s,5,tốt
dtdd,oppo-a77s,3,mình dùng được 2 ngày mọi thứ đều ổn trong tầm giá chỉ hơi tiếc là màn hình hd nên không được sắc nét lắm
dtdd,oppo-a58-4g,5,sản phẩm xài tốt đánh 10 trận liên quân tốn 36 pin
dtdd,oppo-a58-4g,5,ok sản phẩm tốt đó
dtdd,oppo-a58-4g,3,cho mình hỏi tại sao app gọi điện nhắn tin lại như vầy ạ ô số 1 là app của google còn ô số 2 là app mặc định từ nhà sản xuất nhu cầu của mình là chỉ dùng app của nhà sx thôi đt mình vừa mua về xem lại thì chỉ có app nhắn tin là app mặc định tìm app gọi điện mặc định trên máy nhưng không có ad giúp mình ạ
dtdd,oppo-a58-4g,4,sản phẩm tốt
dtdd,oppo-a58-4g,5,dùng tốt trong tầm giá
dtdd,oppo-a58-4g,1,mỗi mùa
dtdd,oppo-a58-4g,2,mất tính năng phát dưới nền r nay loa bị rè hư loa luôn nản thiệt chứ tết r sửa sao sài đt nghe nhạc
dtdd,oppo-a58-4g,4,mình định mua realme c67 nhưng nhân viên tư vấn oppo a58 đến khi check lại thông số thì lại thấy realme c67 có phần nhỉnh hơn hơi thất vọng
dtdd,oppo-a58-4g,4,shop sản phẩm bên điện máy xanh đã sử dụng đc hơn 3 tháng lúc đầu có tính năng phát dưới nền youtube có nhưng giờ mất phải làm sao ạ mong nhân viên bên shop hỗ trợ giúp cảm ơn
dtdd,oppo-a58-4g,5,máy mình vừa mua bên điện máy xanh giờ không dùng nữa bên điện máy xạn có thu lại không ạ
dtdd,oppo-a58-4g,1,pin mau hết sài bình thường lúc sài lúc không mà 12tiếng là hết r đến chi nhánh mà nhân viên k cho đổi
dtdd,oppo-a58-4g,5,máy mượt màng hình to loa khỏe pin cũng ok lắm wifi 4g tất cả đều ok hết nhân viên tư vấn nhiệt tình
dtdd,oppo-a58-4g,3,cho minhhoi tắt nguồn điện thoại ở đâu vậy máy màu không thật cho lắm
dtdd,oppo-a58-4g,1,đt a58 màu màng hình rất tệ màu đã xấu với gây ra đau mắt nữa rất hối tiếc khi mua đt này với giá 5 490
dtdd,oppo-a58-4g,5, 
dtdd,oppo-a58-4g,3,bắt wifi chậm cảm ứng màn hình tệ double tap để ság màn hình mà phải làm 3 4 lần mới sáng bàn phím nt bị lag đag bấm chữ cứ bị đơ hoặc mất khung bàn phím luôn ko biết có nên ra tiệm để đổi máy khác ko vì nhà mình xa
dtdd,oppo-a58-4g,5,rất ok
dtdd,oppo-a58-4g,2,moi dùng được 1 ngày mà pin màu hết quá wf thì bắt mạng rất kém co thể đổi qua dòng máy khác được không ạ
dtdd,oppo-a58-4g,3,mua sử dụng đc 3 ngày pim 5000 mà mau hết pin quá mình k sử dụng liên tục mà chưa hết ngày đã hết pin 
dtdd,oppo-a58-4g,3,điện thoại sài nhanh hết pin quá còn lại mọi thứ đều ổn
dtdd,oppo-a58-4g,5,sản phẩm tốt hơn mong đợirất mượt mà camera đẹp
dtdd,oppo-a58-4g,4,điện đẹp sài ok lắm mà có cái nó màu hết pin quá đi ạ ko biết có bị gì hôn hay là điện thoại nó vậy mới góp chưa đc tuần ạ
dtdd,oppo-a58-4g,4,mình mới mua oppo a58 này hồi chiều mà giờ muốn đổi lại vivo y36 cùng giá ấy vậy có đổi được không dmx
dtdd,oppo-a58-4g,3,sạc 33w mà từ 50 đến 1h mới đầy nói nv đmx thì quản lý bảo do nhiều ứng dụng chạy ngầm trong khi đó những dòng khác chạy ngầm sạc vẫn nhanh vào mấy ứng dụng mua hàng mà chậm hay lag loa to nhưng dễ bám bụi h hk biết sao vệ sinh 
dtdd,oppo-a58-4g,2,thấy không ổn ở chổ định vị thời tiết ở trà cổ tân phú mà định vị hiện thời tiết ở võ đắt bình thuận sáng thức dậy báo trời đang mưa trong khi không mưa ít ra cũng phải định vị ở tân phú chứ ra đmx thì nv nói là oppo đt nào cũng định vị như vậy vì đmx ở tt tân phú nó định vị ở phương lâm cái đt cũ của mình hiệu khác rẻ tiền hơn mà còn có khả năng định vị đúng mà chẳng lẽ điều này oppo không làm được với cái giá đt mới gần gấp đôi cái đt cũ của mình còn làm được thất vọng mong tương lại oppo sớm cập nhật để cải thiện đi có 2 nhân viên 1 là nv oppo rất nhiệt tình tế nhị còn xin lỗi khách hàng vì trãi nghiệm không vừa ý hứa sẽ hỗ trợ sớm khi có cập nhật mới 10 còn 1 nhân viên đmx có lẽ là quản lý thì luôn nói mấy lần câu do đt oppo nào cũng vậy c mở lên gg map định vị đúng là được thời tiết không ảnh hưởng gì hết mình không đồng ý sao mà không ảnh hưởng được đây trong khi đang ở tỉnh đồng nai báo địa chỉ và thời tiết ở tỉnh bình thuận nội không việc bỏ ra số tiền gần gấp đôi cái đt cũ mà không có được chức năng đơn giản chính xác như cái đt cũ vẫn đang làm tốt là mình thấy thất vọng r còn thêm cái dụ c thấy gg map đúng là được thời tiết không ảnh hưởng haizz đợi tới ggm sai thì còn gì để nói đối với a không ảnh hưởng nhưng với khách hàng là t rất ảnh hưởng cách a nói vầy nhiều lần làm khách hàng cảm thấy a thấy khách hàng có vấn đề kkkk nên học hỏi cách xử lý vấn đề của nhân viên oppo trong khi đó là điều cơ bản oppo phải làm được như các đt khác rẻ tiền hơn còn làm được thất vọng oppo 1 thất vọng cách a xử lý x10 
dtdd,oppo-a58-4g,1,máy xài tầm 40p nóng máy ra tgdd nv tư vấng ko vừa ý thất vọng quá
dtdd,oppo-a58-4g,5,máy sài ổn pin trâu dùng cả ngày k hết mới mua có 10 ngày mà hôm nay thấy giảm giá nữa rồi tiếc quá
dtdd,oppo-a58-4g,4,vào facebook lag rồi làm sao giúp mình với
dtdd,oppo-a58-4g,5,tốt
dtdd,oppo-a58-4g,5,may sai muot ma pin cam rat ok so voi gia tien nhan vien tu van nhiet tinh
dtdd,oppo-a58-4g,5,nhiên viên tư vấn vui vẻ nhiệt tình chu đáo rất hài lòng
dtdd,oppo-a58-4g,5,sao đt tắt màn hình xong mở lên lâu quá vậy
dtdd,oppo-a58-4g,2,máy tệ qua vao mang yếu that vọng
dtdd,oppo-a58-4g,1,chơi game pubg lag
dtdd,oppo-a58-4g,5,điện thoại dùng tốt nhân viên tư vấn vui vẻ nhiệt tình
dtdd,oppo-a58-4g,5,điện thoại dùng tốt nhân viên tư vấn vui vẻ nhiệt tình
dtdd,oppo-a58-4g,5,nhân viên nhiệt tình năng động
dtdd,oppo-a58-4g,4,pin sạc nhanh thích chuông to
